form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,source,page,language_id
kommoirangmantak018,mu,1.pl.excl.2.sg.fut.aff,kin-na-mu-sik-ni,kin-na-Σ-sik-ni,kin+na+Σ+sik+ni,k i n n a Σ s i k n i,k i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak019,mu,1.pl.excl.2.sg.fut.aff,na-mu-kin-te,na-Σ-kin-te,na+Σ+kin+te,n a Σ k i n t e,n a + Σ + k i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak020,mu,1.pl.excl.2.pl.fut.aff,kin-na-mu-sik-ni,kin-na-Σ-sik-ni,kin+na+Σ+sik+ni,k i n n a Σ s i k n i,k i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak021,mu,1.pl.excl.2.pl.fut.aff,na-mu-kin-te,na-Σ-kin-te,na+Σ+kin+te,n a Σ k i n t e,n a + Σ + k i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak022,mu,1.sg.3.sg.fut.aff,mu-ka-te,Σ-ka-te,Σ+ka+te,Σ k a t e,Σ + k a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak023,mu,1.sg.3.sg.fut.aff,ka-na-mu-sik-ni,ka-na-Σ-sik-ni,ka+na+Σ+sik+ni,k a n a Σ s i k n i,k a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak024,mu,1.sg.3.pl.fut.aff,mu-ka-te,Σ-ka-te,Σ+ka+te,Σ k a t e,Σ + k a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak025,mu,1.sg.3.pl.fut.aff,ka-na-mu-sik-ni,ka-na-Σ-sik-ni,ka+na+Σ+sik+ni,k a n a Σ s i k n i,k a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak026,mu,1.pl.excl.3.sg.fut.aff,kin-na-mu-sik-ni,kin-na-Σ-sik-ni,kin+na+Σ+sik+ni,k i n n a Σ s i k n i,k i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak027,mu,1.pl.excl.3.sg.fut.aff,mu-kin-te,Σ-kin-te,Σ+kin+te,Σ k i n t e,Σ + k i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak028,mu,1.pl.incl.3.sg.fut.aff,ni-na-mu-sik-ni,ni-na-Σ-sik-ni,ni+na+Σ+sik+ni,n i n a Σ s i k n i,n i + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
